Title,Genre,Runtime,IMDB Score,Language,Release month,Release Day,Release Year
ReMastered: The Lion's Share,Documentary,84,7.0,English,May,17,2019
ReMastered: The Miami Showband Massacre,Documentary,70,7.0,English,March,22,2019
Resurface,Documentary,27,7.0,English,September,1,2017
Rocko's Modern Life: Static Cling,Animation / Comedy,45,7.0,English,August,9,2019
Rose Island,Comedy,117,7.0,Italian,December,9,2020
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,104,7.0,English,November,22,2018
The Dirt,Biopic,108,7.0,English,March,22,2019
The Night Comes for Us,Action-thriller,121,7.0,Indonesian,October,19,2018
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,36,7.1,English,January,26,2017
Angela's Christmas,Animation,30,7.1,English,November,30,2018
Angela's Christmas Wish,Animation,47,7.1,English,December,1,2020
Beats,Drama,110,7.1,English,June,19,2019
Circus of Books,Documentary,92,7.1,English,April,22,2020
Dance Dreams: Hot Chocolate Nutcracker,Documentary,80,7.1,English,November,27,2020
Derren Brown: Sacrifice,Mentalism special,49,7.1,English,October,19,2018
El Pepe: A Supreme Life,Documentary,73,7.1,Spanish,December,27,2019
End Game,Documentary,40,7.1,English,May,4,2018
Evelyn,Documentary,96,7.1,English,September,10,2019
Ferry,Crime drama,106,7.1,Dutch,May,14,2021
Grass Is Greener,Documentary,97,7.1,English,April,20,2019
Guillermo Vilas: Settling the Score,Documentary,94,7.1,Spanish,October,27,2020
Joshua: Teenager vs. Superpower,Documentary,78,7.1,English,May,26,2017
Keith Richards: Under the Influence,Documentary,81,7.1,English,September,18,2015
Knock Down the House,Documentary,87,7.1,English,May,1,2019
Loudon Wainwright III: Surviving Twin,One-man show,91,7.1,English,November,13,2018
My Beautiful Broken Brain,Documentary,91,7.1,English,March,18,2016
One of Us,Documentary,95,7.1,English,October,20,2017
Pieces of a Woman,Drama,126,7.1,English,January,7,2021
"Ram Dass, Going Home",Documentary,31,7.1,English,April,6,2018
ReMastered: Tricky Dick & the Man in Black,Documentary,58,7.1,English,November,2,2018
Rooting for Roona,Documentary,41,7.1,Bengali,October,15,2020
The Devil All the Time,Psychological thriller,138,7.1,English,September,16,2020
The Dig,Drama,112,7.1,English,January,29,2021
The Great Hack,Documentary,114,7.1,English,July,24,2019
The White Tiger,Drama,125,7.1,English,January,22,2021
To All the Boys I've Loved Before,Romantic comedy,99,7.1,English,August,17,2018
American Murder: The Family Next Door,Documentary,82,7.2,English,September,30,2020
Audrie & Daisy,Documentary,98,7.2,English,September,23,2016
First They Killed My Father,Drama,136,7.2,Khmer/English/French,September,15,2017
Fyre: The Greatest Party That Never Happened,Documentary,97,7.2,English,January,18,2019
Into the Inferno,Documentary,107,7.2,English,October,28,2016
LA Originals,Documentary,92,7.2,English,April,10,2020
Ladies First,Documentary,39,7.2,English/Hindi,March,8,2018
Love per Square Foot,Romantic comedy,133,7.2,Hindi,February,14,2018
Paddleton,Drama-Comedy,89,7.2,English,February,22,2019
Private Life,Drama,124,7.2,English,October,5,2018
Seventeen,Coming-of-age comedy-drama,99,7.2,Spanish,October,18,2019
Sometimes,Drama,101,7.2,Tamil,May,1,2018
Soni,Crime drama,97,7.2,Hindi,January,18,2019
The 40-Year-Old Version,Comedy,124,7.2,English,October,9,2020
The Disciple,Drama,129,7.2,Marathi,April,30,2021
The Edge of Democracy,Documentary,121,7.2,Portuguese,June,19,2019
The King,Historical drama,140,7.2,English,November,1,2019
The Road to El Camino: A Breaking Bad Movie,Making-of,13,7.2,English,October,29,2019
The Siege of Jadotville,War,108,7.2,English,October,7,2016
Zion ,Documentary,11,7.2,English,August,10,2018
Dolemite Is My Name,Biopic,118,7.3,English,October,25,2019
El Camino: A Breaking Bad Movie,Crime drama,121,7.3,English,October,11,2019
Extremis,Documentary,24,7.3,English,September,13,2016
Father Soldier Son,Documentary,100,7.3,English,July,17,2020
Get Me Roger Stone,Documentary,101,7.3,English,May,12,2017
I'm No Longer Here,Drama,105,7.3,Spanish,May,27,2020
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,96,7.3,Spanish/English,July,8,2020
Octonauts & the Great Barrier Reef,Animation,47,7.3,English,October,13,2020
Okja,Action-adventure,121,7.3,English/Korean,June,28,2017
On My Skin,Crime drama,100,7.3,Italian,September,12,2018
Raat Akeli Hai,Thriller,149,7.3,Hindi,July,31,2020
ReMastered: Massacre at the Stadium,Documentary,64,7.3,English/Spanish,January,11,2019
ReMastered: The Two Killings of Sam Cooke,Documentary,64,7.3,English,February,8,2019
Secrets of the Saqqara Tomb,Documentary,114,7.3,English/Arabic,October,28,2020
Sitara: Let Girls Dream,Animation / Short,15,7.3,English,March,8,2020
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,79,7.3,English/Mandarin,October,14,2016
Team Foxcatcher,Documentary,90,7.3,English/Russian,April,29,2016
The Ballad of Buster Scruggs,Western,132,7.3,English,November,16,2018
The Death and Life of Marsha P. Johnson,Documentary,105,7.3,English,October,6,2017
The Fundamentals of Caring,Comedy-drama,97,7.3,English,June,24,2016
The Other One: The Long Strange Trip of Bob Weir,Documentary,83,7.3,English,May,22,2015
American Factory,Documentary,110,7.4,English,August,21,2019
Fire in Paradise,Documentary,39,7.4,English,November,1,2019
Long Shot,Documentary,40,7.4,English,September,29,2017
Miss Americana,Documentary,85,7.4,English,January,31,2020
Period. End of Sentence.,Documentary,26,7.4,English/Hindi,February,12,2019
Shawn Mendes: Live in Concert,Concert Film,87,7.4,English,November,25,2020
Shirkers,Documentary,97,7.4,English,October,26,2018
The Black Godfather,Documentary,118,7.4,English,June,7,2019
The Irishman: In Conversation,Aftershow / Interview,23,7.4,English,November,27,2019
The Speed Cubers,Documentary,40,7.4,English,July,29,2020
They'll Love Me When I'm Dead,Documentary,98,7.4,English,November,2,2018
Tig,Documentary,80,7.4,English,July,17,2015
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,108,7.5,English,November,22,2017
Blackpink: Light Up the Sky,Documentary,79,7.5,Korean,October,14,2020
City of Joy,Documentary,74,7.5,English,September,7,2018
Dick Johnson Is Dead,Documentary,90,7.5,English,October,2,2020
Homecoming: A Film by Beyonce ,Documentary,137,7.5,English,April,17,2019
Invader Zim: Enter the Florpus,Animation / Science Fiction,71,7.5,English,August,16,2019
John Mulaney & the Sack Lunch Bunch,Variety show,70,7.5,English,December,24,2019
Reversing Roe,Documentary,99,7.5,English,September,13,2018
Athlete A,Documentary,104,7.6,English,June,24,2020
Ludo,Anthology/Dark comedy,149,7.6,Hindi,November,12,2020
Quincy,Documentary,124,7.6,English,September,21,2018
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,144,7.6,English,June,12,2019
Tell Me Who I Am,Documentary,85,7.6,English,October,18,2019
The Bleeding Edge,Documentary,100,7.6,English,July,27,2018
The Social Dilemma,Documentary,94,7.6,English,September,9,2020
The Two Popes,Drama,125,7.6,English,December,20,2019
"What Happened, Miss Simone?",Documentary,84,7.6,English,June,26,2015
Yeh Ballet,Drama,117,7.6,Hindi,February,21,2020
Anima,Musical / Short,15,7.7,English,June,27,2019
Beasts of No Nation,War drama,136,7.7,English/Akan,October,16,2015
Brene Brown: The Call to Courage,Documentary,76,7.7,English,April,19,2019
Crip Camp: A Disability Revolution,Documentary,108,7.7,English,March,25,2020
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,94,7.7,English,November,17,2017
Justin Timberlake + The Tennessee Kids,Concert Film,90,7.7,English,October,12,2016
Road to Roma,Making-of,72,7.7,Spanish,February,11,2020
Roma,Drama,135,7.7,Spanish,December,14,2018
If Anything Happens I Love You,Animation / Short,12,7.8,English,November,20,2020
The Irishman,Crime drama,209,7.8,English,November,27,2019
The Trial of the Chicago 7,Drama,130,7.8,English,October,16,2020
A Secret Love,Documentary,82,7.9,English,April,29,2020
Icarus,Documentary,120,7.9,English,August,4,2017
Marriage Story,Drama,136,7.9,English,December,6,2019
The Ivory Game,Documentary,112,7.9,English,November,4,2016
Struggle: The Life and Lost Art of Szukaiski,Documentary,105,8.0,English,December,21,2018
Chasing Coral ,Documentary,89,8.1,English,July,14,2017
My Octopus Teacher,Documentary,85,8.1,English,September,7,2020
Rising Phoenix,Documentary,106,8.1,English,August,26,2020
13th,Documentary,100,8.2,English,October,7,2016
Disclosure: Trans Lives on Screen,Documentary,107,8.2,English,June,19,2020
Klaus,Animation/Christmas/Comedy/Adventure,97,8.2,English,November,15,2019
Seaspiracy,Documentary,89,8.2,English,March,24,2021
The Three Deaths of Marisela Escobedo,Documentary,109,8.2,Spanish,October,14,2020
Cuba and the Cameraman ,Documentary,114,8.3,English,November,24,2017
Dancing with the Birds,Documentary,51,8.3,English,October,23,2019
Ben Platt: Live from Radio City Music Hall,Concert Film,85,8.4,English,May,20,2020
Taylor Swift: Reputation Stadium Tour,Concert Film,125,8.4,English,December,31,2018
Winter on Fire: Ukraine's Fight for Freedom,Documentary,91,8.4,English/Ukranian/Russian,October,9,2015
Springsteen on Broadway,One-man show,153,8.5,English,December,16,2018
Emicida: AmarElo - It's All For Yesterday,Documentary,89,8.6,Portuguese,December,8,2020
David Attenborough: A Life on Our Planet,Documentary,83,9.0,English,October,4,2020
